iteration,pitches,failed,reason,reference_pitch,target_pitches,response_pitches,target_intervals,response_intervals
51,,False,All good,59.54112999841276,"[57.18169045027023, 50.90726566444492, 54.32443533767892]","[56.71658782370569, 51.32959507344184, 54.40405665287392]","[-6.27442478582531, 3.4171696732339996]","[-5.38699275026385, 3.074461579432082]"
52,,False,All good,58.833858117536025,"[56.71658782370569, 51.32959507344184, 54.40405665287392]","[55.52332629048171, 50.562384479810945, 53.31754682869234]","[-5.38699275026385, 3.074461579432082]","[-4.960941810670768, 2.7551623488813988]"
53,,False,All good,62.6014711821705,"[55.52332629048171, 50.562384479810945, 53.31754682869234]","[56.59233190449016, 52.251556812322555, 53.577858881950476]","[-4.960941810670768, 2.7551623488813988]","[-4.340775092167604, 1.3263020696279213]"
54,,False,All good,60.65165917125477,"[56.59233190449016, 52.251556812322555, 53.577858881950476]","[55.577740049844515, 51.43201170043081, 53.51316715337425]","[-4.340775092167604, 1.3263020696279213]","[-4.145728349413702, 2.0811554529434346]"
55,,False,All good,58.75412867046282,"[55.577740049844515, 51.43201170043081, 53.51316715337425]","[56.79523306364119, 52.3407676664028, 52.95418009589178]","[-4.145728349413702, 2.0811554529434346]","[-4.454465397238394, 0.6134124294889816]"
56,,False,All good,61.6041754078271,"[56.79523306364119, 52.3407676664028, 52.95418009589178]","[57.042454470851865, 52.57434491798657, 53.143874108594595]","[-4.454465397238394, 0.6134124294889816]","[-4.468109552865293, 0.5695291906080229]"
57,,False,All good,58.80809781658049,"[57.042454470851865, 52.57434491798657, 53.143874108594595]","[57.32545000090885, 52.484745747041245, 51.44086478416621]","[-4.468109552865293, 0.5695291906080229]","[-4.840704253867607, -1.0438809628750363]"
58,,False,All good,59.998511902661114,"[57.32545000090885, 52.484745747041245, 51.44086478416621]","[59.057816731864484, 49.071579337879236, 51.41506380392671]","[-4.840704253867607, -1.0438809628750363]","[-9.986237393985249, 2.343484466047471]"
59,,False,All good,59.223422135398295,"[59.057816731864484, 49.071579337879236, 51.41506380392671]","[60.882633311078735, 49.628021955878445, 52.99668436538869]","[-9.986237393985249, 2.343484466047471]","[-11.25461135520029, 3.368662409510243]"
60,,False,All good,62.21339187079485,"[60.882633311078735, 49.628021955878445, 52.99668436538869]","[60.01385399376197, 48.93783026589152, 53.497959559092955]","[-11.25461135520029, 3.368662409510243]","[-11.07602372787045, 4.560129293201435]"
61,,False,All good,62.180495563578155,"[60.01385399376197, 48.93783026589152, 53.497959559092955]","[59.66629512497443, 48.67013012652628, 52.72296169962676]","[-11.07602372787045, 4.560129293201435]","[-10.996164998448151, 4.052831573100477]"
62,,False,All good,59.64220050933251,"[59.66629512497443, 48.67013012652628, 52.72296169962676]","[58.86227057213074, 49.36223520975171, 53.596939105006506]","[-10.996164998448151, 4.052831573100477]","[-9.50003536237903, 4.234703895254796]"
63,,False,All good,58.88897774835234,"[58.86227057213074, 49.36223520975171, 53.596939105006506]","[59.1231112481041, 49.800954256610034, 55.665728945513365]","[-9.50003536237903, 4.234703895254796]","[-9.322156991494069, 5.864774688903331]"
64,,False,All good,58.672968917775094,"[59.1231112481041, 49.800954256610034, 55.665728945513365]","[58.138824076052856, 49.92514994226999, 54.54059005542075]","[-9.322156991494069, 5.864774688903331]","[-8.213674133782867, 4.615440113150761]"
65,,False,All good,61.379322099821195,"[58.138824076052856, 49.92514994226999, 54.54059005542075]","[58.06130599976839, 49.64110584211808, 54.452547149381694]","[-8.213674133782867, 4.615440113150761]","[-8.420200157650314, 4.811441307263614]"
66,,False,All good,58.53162912734341,"[58.06130599976839, 49.64110584211808, 54.452547149381694]","[56.38486232667337, 49.12947732379217, 54.2185350929542]","[-8.420200157650314, 4.811441307263614]","[-7.255385002881198, 5.089057769162025]"
67,,False,All good,62.40919549661159,"[56.38486232667337, 49.12947732379217, 54.2185350929542]","[57.46107931458329, 47.45055284483107, 53.39145237987774]","[-7.255385002881198, 5.089057769162025]","[-10.010526469752214, 5.940899535046668]"
68,,False,All good,61.422878095386174,"[57.46107931458329, 47.45055284483107, 53.39145237987774]","[59.45253968565951, 48.76395400601136, 53.102413759211494]","[-10.010526469752214, 5.940899535046668]","[-10.688585679648149, 4.338459753200134]"
69,,False,All good,60.61863442795438,"[59.45253968565951, 48.76395400601136, 53.102413759211494]","[60.235442161047466, 48.77296456047411, 53.0238372990558]","[-10.688585679648149, 4.338459753200134]","[-11.462477600573358, 4.250872738581691]"
70,,False,All good,60.726989088333575,"[60.235442161047466, 48.77296456047411, 53.0238372990558]","[59.91869851567945, 50.522324475978245, 53.81626990090611]","[-11.462477600573358, 4.250872738581691]","[-9.396374039701207, 3.2939454249278626]"
71,,False,All good,58.92349372377935,"[59.91869851567945, 50.522324475978245, 53.81626990090611]","[59.82699858288231, 49.94046139860278, 52.49715475028008]","[-9.396374039701207, 3.2939454249278626]","[-9.886537184279533, 2.5566933516773034]"
72,,False,All good,62.66724971953771,"[59.82699858288231, 49.94046139860278, 52.49715475028008]","[60.43781288448075, 47.924392071001385, 53.45952329961633]","[-9.886537184279533, 2.5566933516773034]","[-12.513420813479364, 5.535131228614944]"
73,,False,All good,63.22790323502355,"[60.43781288448075, 47.924392071001385, 53.45952329961633]","[60.866403122000236, 48.14784505660179, 53.30427042328253]","[-12.513420813479364, 5.535131228614944]","[-12.718558065398447, 5.156425366680743]"
74,,False,All good,59.432566547651874,"[60.866403122000236, 48.14784505660179, 53.30427042328253]","[59.289790649919546, 49.46299334818835, 55.1219250030158]","[-12.718558065398447, 5.156425366680743]","[-9.826797301731197, 5.658931654827448]"
75,,False,All good,58.79856400726748,"[59.289790649919546, 49.46299334818835, 55.1219250030158]","[59.82635677748131, 50.3289512398419, 54.30504557750569]","[-9.826797301731197, 5.658931654827448]","[-9.497405537639409, 3.9760943376637883]"
76,,False,All good,60.86703544260595,"[59.82635677748131, 50.3289512398419, 54.30504557750569]","[58.599998414904384, 49.07034181593505, 54.417968595177825]","[-9.497405537639409, 3.9760943376637883]","[-9.529656598969332, 5.347626779242773]"
77,,False,All good,60.989953869457025,"[58.599998414904384, 49.07034181593505, 54.417968595177825]","[58.93991795071311, 48.54578235506407, 54.744231361761194]","[-9.529656598969332, 5.347626779242773]","[-10.39413559564904, 6.198449006697125]"
78,,False,All good,62.26866483965347,"[58.93991795071311, 48.54578235506407, 54.744231361761194]","[58.12357656247507, 48.77451465758559, 53.892301681752436]","[-10.39413559564904, 6.198449006697125]","[-9.349061904889481, 5.117787024166844]"
79,,False,All good,58.89917404569434,"[58.12357656247507, 48.77451465758559, 53.892301681752436]","[58.77054457304658, 46.70137615095363, 54.91803923945951]","[-9.349061904889481, 5.117787024166844]","[-12.06916842209295, 8.216663088505882]"
80,,False,All good,60.415666217044446,"[58.77054457304658, 46.70137615095363, 54.91803923945951]","[57.593453684794966, 45.54318625719955, 56.39658712258959]","[-12.06916842209295, 8.216663088505882]","[-12.050267427595415, 10.853400865390036]"
81,,False,All good,59.91973441816794,"[57.593453684794966, 45.54318625719955, 56.39658712258959]","[57.163484706922596, 47.58372062013126, 55.64662665040132]","[-12.050267427595415, 10.853400865390036]","[-9.579764086791336, 8.062906030270064]"
82,,False,All good,62.456606988419274,"[57.163484706922596, 47.58372062013126, 55.64662665040132]","[56.341633551376354, 48.56075351171516, 54.28626916870277]","[-9.579764086791336, 8.062906030270064]","[-7.7808800396611915, 5.725515656987611]"
83,,False,All good,62.37947218912366,"[56.341633551376354, 48.56075351171516, 54.28626916870277]","[56.91050887529423, 50.17300473894174, 54.702796112474715]","[-7.7808800396611915, 5.725515656987611]","[-6.737504136352484, 4.529791373532973]"
84,,False,All good,58.93515157713259,"[56.91050887529423, 50.17300473894174, 54.702796112474715]","[57.24957431982745, 50.73542713214373, 54.68962776035631]","[-6.737504136352484, 4.529791373532973]","[-6.514147187683726, 3.9542006282125826]"
85,,False,All good,60.20732353462013,"[57.24957431982745, 50.73542713214373, 54.68962776035631]","[56.94839755316731, 51.76536271367912, 55.36499618145489]","[-6.514147187683726, 3.9542006282125826]","[-5.183034839488194, 3.5996334677757744]"
86,,False,All good,60.25200588612317,"[56.94839755316731, 51.76536271367912, 55.36499618145489]","[55.421279816705685, 53.43109347907449, 53.81361793545116]","[-5.183034839488194, 3.5996334677757744]","[-1.9901863376311937, 0.38252445637667165]"
87,,False,All good,60.786229671756296,"[55.421279816705685, 53.43109347907449, 53.81361793545116]","[54.61197846501816, 54.73860997148813, 53.21672385640345]","[-1.9901863376311937, 0.38252445637667165]","[0.12663150646996968, -1.5218861150846834]"
88,,False,All good,60.20412432100895,"[54.61197846501816, 54.73860997148813, 53.21672385640345]","[53.909277695993445, 54.21569188914046, 54.160438049782776]","[0.12663150646996968, -1.5218861150846834]","[0.30641419314701324, -0.055253839357682466]"
89,,False,All good,62.75753466056114,"[53.909277695993445, 54.21569188914046, 54.160438049782776]","[54.68088826092893, 55.46798536562316, 56.26384887956366]","[0.30641419314701324, -0.055253839357682466]","[0.7870971046942259, 0.7958635139405033]"
90,,False,All good,61.1134496408637,"[54.68088826092893, 55.46798536562316, 56.26384887956366]","[53.132638269881525, 56.60305551904117, 56.67958339213174]","[0.7870971046942259, 0.7958635139405033]","[3.4704172491596452, 0.07652787309056919]"
91,,False,All good,61.262494715020686,"[53.132638269881525, 56.60305551904117, 56.67958339213174]","[54.06936078109492, 56.906243116071984, 57.550437700860776]","[3.4704172491596452, 0.07652787309056919]","[2.836882334977062, 0.6441945847887922]"
92,,False,All good,61.47945390685596,"[54.06936078109492, 56.906243116071984, 57.550437700860776]","[54.093626430716625, 60.54823191254397, 57.1656788656188]","[2.836882334977062, 0.6441945847887922]","[6.454605481827343, -3.3825530469251675]"
93,,False,All good,60.222908515608694,"[54.093626430716625, 60.54823191254397, 57.1656788656188]","[54.3892009509773, 59.38457265996319, 57.67944637647336]","[6.454605481827343, -3.3825530469251675]","[4.995371708985893, -1.7051262834898324]"
94,,False,All good,62.958342021070145,"[54.3892009509773, 59.38457265996319, 57.67944637647336]","[54.51312210887647, 59.540726747337715, 55.77313466169655]","[4.995371708985893, -1.7051262834898324]","[5.027604638461241, -3.767592085641162]"
95,,False,All good,58.85023625258708,"[54.51312210887647, 59.540726747337715, 55.77313466169655]","[54.96945440124534, 59.80482760548566, 56.39110037184642]","[5.027604638461241, -3.767592085641162]","[4.8353732042403195, -3.413727233639243]"
96,,False,All good,59.72002081838623,"[54.96945440124534, 59.80482760548566, 56.39110037184642]","[56.17738873664153, 60.58906363951544, 55.72327444139634]","[4.8353732042403195, -3.413727233639243]","[4.411674902873905, -4.865789198119096]"
97,,False,All good,60.63989469755701,"[56.17738873664153, 60.58906363951544, 55.72327444139634]","[57.402570003008215, 61.03549991419214, 56.2617435298805]","[4.411674902873905, -4.865789198119096]","[3.632929911183922, -4.773756384311639]"
98,,False,All good,60.9503845530472,"[57.402570003008215, 61.03549991419214, 56.2617435298805]","[59.70763796430832, 61.92766781693408, 55.41579679711631]","[3.632929911183922, -4.773756384311639]","[2.220029852625764, -6.511871019817775]"
99,,False,All good,61.48684710746578,"[59.70763796430832, 61.92766781693408, 55.41579679711631]","[58.856502602107405, 62.8021582594592, 55.53146905814364]","[2.220029852625764, -6.511871019817775]","[3.945655657351793, -7.270689201315555]"
